id_type,price,address,number_of_part,img_link
Vente,190000000,"Ngor, Dakar, Sénégal",12,https://images.coinafrique.com/thumb_4956124_uploaded_image1_1727010040.jpg
Location,1500000,"Mermoz-Sacré Coeur, Dakar, Sénégal",5,https://images.coinafrique.com/thumb_4952698_uploaded_image1_1726789441.jpg
Location,1800000,"Mermoz-Sacré Coeur, Dakar, Sénégal",9,https://images.coinafrique.com/thumb_4952752_uploaded_image1_1726789287.jpg
Vente,80000000,"Ngaparou, Sénégal",7,https://images.coinafrique.com/thumb_4956803_uploaded_image1_1727046270.jpg
Location,1500000,"Mermoz-Sacré Coeur, Dakar, Sénégal",5,https://images.coinafrique.com/thumb_4949390_uploaded_image1_1726619607.jpg
Vente,50000000,"Guediawaye, Dakar, Sénégal",6,https://images.coinafrique.com/thumb_4999585_uploaded_image1_1729206318.jpg
Vente,180000000,"Mbour, Sénégal",5,https://images.coinafrique.com/thumb_4948329_uploaded_image1_1726577592.06.jpeg
Belle,550000,"Dakar, Sénégal",1,https://images.coinafrique.com/thumb_4998362_uploaded_image1_1729155979.jpg
Vente,47000000,"Mbao, Dakar, Sénégal",4,https://images.coinafrique.com/thumb_4961964_uploaded_image1_1727285883.jpg
Vente,150000000,"Saly, Sénégal",6,https://images.coinafrique.com/thumb_4997372_uploaded_image1_1729101365.jpg
Vente,100000000,"Dakar, Sénégal",2,https://images.coinafrique.com/thumb_4997303_uploaded_image1_1729099303.jpg
Vente,90000000,"Lac rose, Sénégal",8,https://images.coinafrique.com/thumb_4987178_uploaded_image1_1728574287.jpg
Vente,45000000,"Dakar, Sénégal",6,https://images.coinafrique.com/thumb_4996761_uploaded_image1_1729083411.jpg
Vente,40000000,"Fass, Dakar, Sénégal",3,https://images.coinafrique.com/thumb_4996603_uploaded_image1_1729078530.jpg
